,score,protected_class,label
222,0.72,0,1
223,0.32,0,0
224,0.29,0,0
225,0.13,0,0
226,0.995,0,1
227,0.905,0,1
228,0.37,0,1
229,0.39,0,1
230,0.585,0,1
231,0.455,0,1
232,0.93,1,1
233,0.9,0,1
234,0.39,0,1
235,0.65,0,1
236,0.19,0,0
237,0.75,0,1
238,0.18,0,1
239,0.335,0,1
240,0.22,0,1
241,0.625,0,1
242,0.53,0,1
243,0.28,0,0
244,0.98,0,1
245,0.08,0,0
246,0.975,0,1
247,0.415,0,1
248,0.335,0,0
249,0.655,1,1
250,0.86,0,1
251,0.64,0,1
252,0.75,0,1
253,0.02,0,0
254,0.86,0,1
255,0.22,0,0
256,0.385,0,1
257,0.865,0,1
258,0.65,0,1
259,0.545,0,1
260,0.625,1,1
261,0.335,0,1
262,0.12,0,0
263,0.855,0,1
264,0.6,0,1
265,0.53,0,1
266,0.935,0,1
267,0.335,0,0
268,0.665,0,1
269,0.95,0,1
270,0.2,0,0
271,0.09,0,0
272,0.235,0,1
273,0.875,0,1
274,0.945,0,1
275,0.085,0,0
276,0.35,0,1
277,0.93,0,1
278,0.005,0,0
279,0.77,0,1
280,0.32,0,0
281,0.54,0,0
282,0.245,0,0
283,0.675,0,1
284,0.69,0,1
285,0.94,0,1
286,0.52,0,1
287,0.48,0,1
288,0.865,0,1
289,0.89,0,1
290,0.815,0,1
291,0.04,0,0
292,0.295,0,1
293,0.77,0,1
294,0.48,1,1
295,0.585,0,1
296,0.885,0,1
297,0.15,1,0
298,0.295,0,0
299,0.57,0,1
300,0.98,0,1
301,0.02,0,0
302,0.65,0,1
303,0.12,0,0
304,0.31,0,1
305,0.55,0,1
306,0.01,0,0
307,0.305,0,1
308,0.23,0,0
309,0.815,0,1
310,0.235,0,1
311,0.35,0,1
312,0.68,0,1
313,0.185,0,1
314,0.73,0,1
315,0.065,0,0
316,0.525,0,0
317,0.155,0,0
318,0.61,0,1
319,0.12,0,0
320,0.255,0,0
321,0.78,0,1
322,0.59,0,1
323,0.515,0,1
324,0.66,0,1
325,0.98,0,1
326,0.675,0,1
327,0.585,0,1
328,0.42,0,1
329,0.53,0,1
330,0.985,0,1
331,0.81,0,1
332,0.475,0,1
333,0.975,0,1
334,0.11,0,0
335,0.01,0,1
336,0.05,0,0
337,0.2,0,1
338,0.2,0,0
339,0.36,0,1
340,0.61,0,1
341,0.715,0,1
342,0.44,1,1
343,0.25,0,1
344,0.71,0,1
345,0.125,0,0
346,0.55,0,0
347,0.23,0,1
348,0.79,0,1
349,0.15,0,1
350,0.35,0,1
351,0.69,0,1
352,0.83,0,1
353,0.53,0,1
354,0.04,0,0
355,0.34,0,0
356,0.495,0,1
357,0.12,0,0
358,0.33,0,1
359,0.45,0,1
360,0.67,0,1
361,0.06,0,0
362,0.98,0,1
363,0.82,0,1
364,0.875,0,1
365,0.965,0,1
366,0.075,0,0
367,0.2,0,0
368,0.17,0,1
369,0.04,0,0
370,0.94,0,1
371,0.55,0,1
372,0.28,0,1
373,0.44,0,1
374,0.9,0,1
375,0.18,0,0
376,0.005,0,0
377,0.57,0,1
378,0.755,0,1
379,0.19,0,0
380,0.2,0,0
381,0.545,0,1
382,0.72,0,1
383,0.355,0,1
384,0.395,0,1
385,0.82,0,1
386,0.76,0,1
387,0.36,0,1
388,0.195,0,0
389,0.375,0,1
390,0.535,0,1
391,0.655,0,1
392,0.535,0,1
393,0.375,0,1
394,0.845,0,1
395,0.895,0,1
396,0.745,0,1
397,0.885,0,1
398,0.21,0,0
399,0.15,0,0
400,0.36,0,0
401,0.315,0,1
402,0.71,0,1
403,0.29,0,0
404,0.1,0,0
405,0.27,0,0
406,0.17,0,0
407,0.835,0,1
408,0.1,0,0
409,0.76,0,1
410,0.48,1,1
411,0.94,0,1
412,0.085,0,0
413,0.45,0,1
414,0.035,0,0
415,0.875,0,1
416,0.505,0,1
417,0.69,0,1
418,0.135,0,0
419,0.855,0,1
420,0.35,0,1
421,0.8,0,1
422,0.095,0,0
423,0.24,0,0
424,0.85,1,1
425,0.125,0,0
426,0.66,0,1
427,0.345,0,1
428,0.77,0,0
429,0.07,0,0
430,0.51,0,1
431,0.2,0,0
432,0.52,0,1
433,0.71,0,1
434,0.79,0,1
435,0.55,0,1
436,0.155,0,0
437,0.625,0,1
438,0.37,0,0
439,0.82,0,1
440,0.49,0,1
441,0.345,0,1
442,0.77,0,1
443,0.44,0,1
444,0.77,0,1
445,0.985,0,1
446,0.36,0,1
447,0.115,0,0
448,0.17,0,0
449,0.07,0,0
450,0.315,0,1
451,0.465,0,1
452,0.78,0,1
453,0.72,0,1
454,0.36,0,1
455,0.01,1,0
456,0.445,0,1
457,0.79,0,1
458,0.005,0,0
459,0.31,0,1
460,0.73,0,1
461,0.21,0,0
462,0.605,0,1
463,0.675,0,1
464,0.605,0,1
465,0.64,0,1
466,0.1,0,0
467,0.9,0,1
468,0.13,0,0
469,0.705,0,1
470,0.6,0,1
471,0.705,0,0
472,0.21,0,1
473,0.06,0,0
474,0.44,0,1
475,0.315,0,1
476,0.77,1,1
477,0.37,0,1
478,0.94,0,1
479,0.255,0,1
480,0.73,0,1
481,0.26,0,1
482,0.215,0,0
483,0.61,0,1
484,0.665,0,1
485,0.945,0,1
486,0.83,0,1
487,0.55,0,1
488,0.85,0,1
489,0.425,0,1
490,0.605,0,1
491,0.77,0,1
492,0.505,0,1
493,0.205,0,0
494,0.895,0,1
495,0.22,0,1
496,0.785,0,1
497,0.215,0,1
498,0.9,0,1
499,0.145,0,0
500,0.12,0,0
501,0.27,0,0
502,0.15,0,0
503,0.44,0,1
504,0.26,0,1
505,0.675,0,1
506,0.575,0,1
507,0.415,0,0
508,0.075,0,0
509,0.935,0,1
510,0.055,0,0
511,0.295,1,1
512,0.22,0,1
513,0.35,0,1
514,0.92,0,1
515,0.75,0,1
516,0.01,0,0
517,0.32,0,1
518,0.515,0,1
519,0.33,0,1
520,0.17,0,0
521,0.795,0,1
522,0.695,0,1
523,0.685,1,1
524,0.245,0,1
525,0.875,0,1
526,0.47,0,1
527,0.105,0,0
528,0.36,0,1
529,0.105,0,0
530,0.815,0,0
531,0.37,0,1
532,0.3,0,0
533,0.2,0,0
534,0.69,0,1
535,0.86,0,1
536,0.03,0,0
537,0.53,0,1
538,0.48,0,1
539,0.65,0,1
540,0.81,0,1
541,0.675,0,1
542,0.87,0,1
543,0.63,0,1
544,0.07,0,0
545,0.81,0,1
546,0.795,0,1
547,0.32,0,1
548,0.01,0,0
549,0.105,0,0
550,0.815,0,1
551,0.14,0,0
552,0.445,0,0
553,0.175,0,0
554,0.535,0,1
555,0.77,0,1
556,0.62,0,1
557,0.49,0,1
558,0.36,0,1
559,0.14,0,0
560,0.63,0,0
561,0.66,0,1
562,0.35,0,1
563,0.57,0,1
564,0.51,0,1
565,0.94,0,1
566,0.595,0,1
567,0.85,0,1
568,0.035,0,0
569,0.81,0,1
570,0.835,0,1
571,0.31,0,1
572,0.58,0,1
573,0.16,0,0
574,0.855,0,1
575,0.225,0,0
576,0.035,0,0
577,0.31,0,0
578,0.46,0,1
579,0.61,0,1
580,0.39,0,1
581,0.515,0,1
582,0.565,0,1
583,0.325,0,1
584,0.285,0,1
585,0.195,0,0
586,0.81,0,1
587,0.11,0,0
588,0.945,0,1
589,0.6,0,1
590,0.65,0,1
591,0.88,0,1
592,0.735,0,1
593,0.305,0,0
594,0.285,0,0
595,0.04,0,0
596,0.675,0,1
597,0.55,0,1
598,0.475,1,0
599,0.115,0,0
600,0.93,0,1
601,0.28,0,0
602,0.385,0,1
603,0.515,0,0
604,0.44,0,1
605,0.405,0,1
606,0.455,0,1
607,0.41,0,0
608,0.1,0,0
609,0.465,0,1
610,0.38,0,1
611,0.545,0,1
612,0.695,0,1
613,0.93,0,1
614,0.105,0,1
615,0.71,0,1
616,0.44,0,1
617,0.335,0,1
618,0.915,0,1
619,0.205,0,0
620,0.145,0,0
621,0.27,0,1
622,0.37,0,0
623,0.44,0,0
624,0.78,0,1
625,0.2,0,0
626,0.635,0,1
627,0.69,0,1
628,0.59,0,1
629,0.07,0,0
630,0.08,0,0
631,0.59,0,1
632,0.94,0,1
633,0.3,0,1
634,0.88,0,0
635,0.2,0,0
636,0.04,0,0
637,0.325,0,1
638,0.39,0,1
639,0.225,0,0
640,0.465,0,0
641,0.75,0,1
642,0.205,0,0
643,0.79,0,1
644,0.345,0,1
645,0.665,0,1
646,0.54,0,1
647,0.36,0,1
648,0.755,0,1
649,0.695,0,1
650,0.54,0,1
651,0.18,0,0
652,0.35,0,0
653,0.835,0,1
654,0.165,0,0
655,0.84,0,1
656,0.39,0,1
657,0.3,0,1
658,0.97,0,1
659,0.14,0,1
660,0.385,0,1
661,0.25,0,0
662,0.25,0,1
663,0.35,0,1
664,0.69,0,0
665,0.005,0,0
666,0.7,0,1
667,0.45,0,1
668,0.73,1,1
669,0.575,1,1
670,0.38,0,1
671,0.515,0,1
672,0.28,0,1
673,0.895,0,1
674,0.795,0,1
675,0.01,0,0
676,0.84,0,1
677,0.265,0,1
678,0.38,0,1
679,0.97,0,1
680,0.945,0,1
681,0.48,0,1
682,0.25,0,1
683,0.175,0,0
684,0.835,0,1
685,0.2,0,1
686,0.07,0,0
687,0.69,0,1
688,0.285,0,1
689,0.27,0,1
690,0.875,0,1
691,0.09,0,0
692,0.235,0,0
693,0.92,0,1
694,0.23,0,0
695,0.88,0,1
696,0.57,1,1
697,0.02,0,0
698,0.34,0,1
699,0.95,0,1
700,0.58,0,1
701,0.03,0,0
702,0.06,0,1
703,0.205,0,1
704,0.69,0,1
705,0.815,0,1
706,0.38,0,1
707,0.08,0,0
708,0.29,0,1
709,0.635,0,1
710,0.315,0,0
711,0.98,0,1
712,0.025,0,0
713,0.055,0,0
714,0.175,0,0
715,0.325,0,0
716,0.135,0,1
717,0.94,0,1
718,0.475,0,0
719,0.25,0,1
720,0.08,0,1
721,0.365,0,1
722,0.315,0,0
723,0.835,0,1
724,0.32,0,1
725,0.77,1,1
726,0.65,0,1
727,0.36,0,1
728,0.97,0,1
729,0.015,0,0
730,0.84,0,1
731,0.505,0,0
732,0.745,0,1
733,0.28,0,1
734,0.555,0,1
735,0.575,0,1
736,0.415,0,1
737,0.805,0,0
738,0.26,0,1
739,0.78,1,1
740,0.475,0,1
741,0.15,0,1
742,0.635,0,1
743,0.94,0,1
744,0.13,0,0
745,0.14,0,0
746,0.695,0,1
747,0.165,0,0
748,0.25,0,0
749,0.615,0,1
750,0.49,0,1
751,0.37,0,1
752,0.45,1,1
753,0.485,0,1
754,0.945,0,1
755,0.22,0,1
756,0.855,0,1
757,0.29,0,0
758,0.485,0,1
759,0.005,0,0
760,0.035,0,0
761,0.395,0,1
762,0.26,0,1
763,0.075,0,0
764,0.04,0,0
765,0.03,0,0
766,0.915,0,1
767,0.55,0,1
768,0.84,0,1
769,0.98,0,1
770,0.535,0,1
771,0.2,0,1
772,0.48,0,0
773,0.03,0,0
774,0.16,0,0
775,0.92,0,1
776,0.45,0,1
777,0.395,0,1
778,0.3,0,0
779,0.96,0,1
780,0.56,0,1
781,0.27,0,1
782,0.145,0,0
783,0.365,0,1
784,0.91,0,1
785,0.77,0,1
786,0.41,0,0
787,0.81,0,1
788,0.94,0,1
789,0.745,0,1
790,0.345,0,0
791,0.22,0,1
792,0.705,0,1
793,0.805,0,1
794,0.6,0,1
795,0.93,0,1
796,0.73,0,1
797,0.465,0,1
798,0.69,0,1
799,0.72,0,1
800,0.5,0,1
801,0.97,0,1
802,0.065,0,0
803,0.695,0,1
804,0.525,0,1
805,0.52,0,1
806,0.05,0,0
807,0.33,0,0
808,0.125,0,0
809,0.065,0,0
810,0.12,0,0
811,0.2,0,1
812,0.33,0,1
813,0.305,0,0
814,0.59,0,1
815,0.85,0,1
816,0.475,0,1
817,0.745,0,1
818,0.4,0,0
819,0.465,0,1
820,0.19,0,1
821,0.855,0,1
822,0.41,0,1
823,0.915,0,1
824,0.895,0,1
825,0.465,0,1
826,0.985,0,1
827,0.16,0,0
828,0.335,0,1
829,0.37,0,1
830,0.55,0,1
831,0.68,0,1
832,0.2,0,1
833,0.34,0,1
834,0.215,0,1
835,0.42,0,1
836,0.07,0,0
837,0.235,0,0
838,0.2,0,0
839,0.17,0,0
840,0.35,0,1
841,0.4,0,1
842,0.61,0,1
843,0.285,0,0
844,0.05,0,0
845,0.945,0,1
846,0.035,0,0
847,0.9,0,1
848,0.9,0,1
849,0.745,0,1
850,0.845,0,0
851,0.385,0,1
852,0.345,0,1
853,0.635,0,1
854,0.57,0,1
855,0.21,0,0
856,0.97,0,1
857,0.695,0,1
858,0.345,0,1
859,0.01,0,0
860,0.6,0,1
861,0.72,0,1
862,0.945,0,1
863,0.59,0,1
864,0.32,0,0
865,0.065,0,0
866,0.065,0,0
867,0.32,0,1
868,0.15,0,1
869,0.79,0,1
870,0.21,0,0
871,0.2,0,0
872,0.685,1,1
873,0.59,0,1
874,0.53,0,0
875,0.195,0,1
876,0.885,0,1
877,0.35,0,0
878,0.77,0,1
879,0.93,0,1
880,0.79,0,1
881,0.125,0,1
882,0.47,0,1
883,0.32,1,1
884,0.885,0,1
885,0.2,0,0
886,0.215,0,1
887,0.565,0,1
888,0.225,0,1
889,0.11,0,0
890,0.07,0,0
891,0.23,0,1
892,0.8,0,1
893,0.58,0,1
894,0.79,0,1
895,0.98,0,1
896,0.49,0,1
897,0.54,0,1
898,0.71,0,1
899,0.24,0,0
900,0.71,0,1
901,0.36,0,1
902,0.955,0,1
903,0.67,0,1
904,0.855,0,1
905,0.425,0,1
906,0.62,0,1
907,0.415,0,1
908,0.15,0,0
909,0.58,0,1
910,0.69,0,1
911,0.705,0,1
912,0.96,0,1
913,0.515,0,1
914,0.03,0,0
915,0.49,0,1
916,0.54,0,1
917,0.945,0,1
918,0.915,0,1
919,0.575,0,1
920,0.035,0,0
921,0.055,0,0
922,0.32,0,0
923,0.77,0,1
924,0.915,0,1
925,0.05,0,0
926,0.755,0,1
927,0.595,0,1
928,0.32,0,1
929,0.74,0,1
930,0.635,1,1
931,0.35,0,1
932,0.455,0,1
933,0.11,0,0
934,0.11,0,0
935,0.52,0,1
936,0.32,0,1
937,0.175,0,1
938,0.405,0,1
939,0.42,0,1
940,0.975,0,1
941,0.22,0,1
942,0.125,0,0
943,0.745,0,1
944,0.01,0,0
945,0.765,0,1
946,0.215,0,0
947,0.03,0,0
948,0.565,0,1
949,0.25,0,0
950,0.185,0,0
951,0.715,0,1
952,0.45,0,1
953,0.905,0,1
954,0.945,0,1
955,0.57,0,1
956,0.36,0,1
957,0.765,0,1
958,0.7,0,1
959,0.63,0,1
960,0.025,0,0
961,0.24,0,0
962,0.79,0,1
963,0.26,0,1
964,0.09,0,0
965,0.1,0,0
966,0.46,0,1
967,0.095,0,1
968,0.195,0,0
969,0.72,0,1
970,0.14,0,0
971,0.44,0,1
972,0.44,0,1
973,0.95,0,1
974,0.29,1,1
975,0.93,0,1
976,0.21,0,0
977,0.565,1,1
978,0.915,0,1
979,0.69,0,1
980,0.585,0,1
981,0.115,0,0
982,0.36,0,1
983,0.625,0,0
984,0.575,1,1
985,0.815,0,1
986,0.39,0,1
987,0.22,0,1
988,0.15,0,0
989,0.225,1,0
990,0.22,0,0
991,0.005,0,0
992,0.835,0,1
993,0.055,0,0
994,0.1,0,0
995,0.24,0,1
996,0.07,1,1
997,0.615,0,1
998,0.77,0,1
999,0.745,1,1
1000,0.12,0,0
1001,0.21,0,0
1002,0.64,0,1
1003,0.035,0,0
1004,0.555,0,1
1005,0.37,0,0
1006,0.005,0,0
1007,0.855,0,1
1008,0.82,0,1
1009,0.92,0,1
1010,0.72,0,1
1011,0.525,0,1
1012,0.285,0,0
1013,0.875,0,1
1014,0.575,0,1
1015,0.39,0,1
1016,0.975,0,1
1017,0.61,0,1
1018,0.63,0,1
1019,0.15,0,0
1020,0.15,0,0
1021,0.3,0,1
1022,0.32,0,1
1023,0.04,0,0
1024,0.9,0,1
1025,0.73,0,1
1026,0.455,0,1
1027,0.78,0,1
1028,0.4,0,1
1029,0.92,0,1
1030,0.735,0,1
1031,0.35,0,0
1032,0.17,0,1
1033,0.06,1,1
1034,0.395,0,0
1035,0.595,0,1
1036,0.295,0,1
1037,0.06,0,0
1038,0.445,0,1
1039,0.195,1,0
1040,0.17,0,0
1041,0.01,0,0
1042,0.97,0,1
1043,0.56,0,1
1044,0.15,0,0
1045,0.765,0,1
1046,0.325,0,1
1047,0.5,0,1
1048,0.26,0,0
1049,0.32,0,1
1050,0.535,0,1
1051,0.455,0,1
1052,0.2,0,1
1053,0.21,0,0
1054,0.525,0,1
1055,0.16,0,0
1056,0.685,0,1
1057,0.93,0,1
1058,0.485,0,1
1059,0.365,0,1
1060,0.265,0,1
1061,0.47,0,1
1062,0.475,0,1
1063,0.58,0,1
1064,0.125,0,0
1065,0.58,0,1
1066,0.575,0,1
1067,0.02,0,0
1068,0.41,0,1
1069,0.94,0,1
1070,0.22,0,0
1071,0.34,0,1
1072,0.345,0,1
1073,0.2,0,0
1074,0.465,0,1
1075,0.6,0,1
1076,0.78,0,1
1077,0.98,0,1
1078,0.575,0,1
1079,0.57,0,1
1080,0.77,0,1
1081,0.28,0,0
1082,0.135,0,0
1083,0.55,0,1
1084,0.065,0,0
1085,0.5,0,1
1086,0.555,0,1
1087,0.46,0,1
1088,0.145,0,0
1089,0.05,0,1
1090,0.74,0,1
1091,0.84,0,0
1092,0.235,0,0
1093,0.17,0,0
1094,0.06,0,0
1095,0.445,0,0
1096,0.58,0,1
1097,0.635,0,1
1098,0.27,0,0
1099,0.17,0,1
1100,0.265,0,0
1101,0.14,0,0
1102,0.065,0,0
1103,0.145,0,1
1104,0.31,0,0
1105,0.53,0,1
1106,0.485,0,1
1107,0.31,0,1
1108,0.06,0,0
1109,0.17,0,0
1110,0.93,0,1
1111,0.755,0,1
1112,0.035,0,0
1113,0.19,0,0
1114,0.505,0,1
1115,0.01,0,0
1116,0.265,0,0
1117,0.335,0,0
1118,0.905,0,1
1119,0.47,0,1
1120,0.98,0,1
1121,0.875,0,1
1122,0.515,0,1
1123,0.68,0,1
1124,0.42,0,1
1125,0.345,0,1
1126,0.32,0,1
1127,0.98,0,1
1128,0.575,0,1
1129,0.055,0,0
1130,0.17,0,0
1131,0.51,0,1
1132,0.855,0,1
1133,0.27,0,0
1134,0.32,0,1
1135,0.07,0,0
1136,0.595,0,1
1137,0.555,0,1
1138,0.945,0,1
1139,0.135,0,0
1140,0.99,1,1
1141,0.66,0,1
1142,0.785,0,1
1143,0.33,0,1
1144,0.89,0,1
1145,0.97,0,1
1146,0.975,0,1
1147,0.48,0,1
1148,0.615,0,1
1149,0.655,0,1
1150,0.36,0,1
1151,0.07,0,0
1152,0.665,0,1
1153,0.34,0,1
1154,0.635,0,1
1155,0.45,0,1
1156,0.865,0,1
1157,0.855,0,1
1158,0.59,0,1
1159,0.945,0,1
1160,0.225,0,1
1161,0.595,0,1
1162,0.415,0,1
1163,0.17,0,1
1164,0.985,0,1
1165,0.32,0,1
1166,0.43,0,1
1167,0.9,0,1
1168,0.99,0,1
1169,0.765,0,1
1170,0.49,0,1
1171,0.14,0,0
1172,0.815,0,1
1173,0.77,0,1
1174,0.2,0,1
1175,0.41,1,1
1176,0.47,0,1
1177,0.65,0,1
1178,0.69,0,1
1179,0.21,0,1
1180,0.25,0,1
1181,0.81,0,1
1182,0.525,0,1
1183,0.105,0,0
1184,0.985,0,1
1185,0.815,0,1
1186,0.89,0,1
1187,0.52,0,1
1188,0.28,1,0
1189,0.42,0,0
1190,0.73,0,1
1191,0.17,0,0
1192,0.785,0,1
1193,0.13,0,0
1194,0.915,0,1
1195,0.355,0,1
1196,0.885,0,1
1197,0.05,0,0
1198,0.125,0,0
1199,0.09,0,1
1200,0.53,0,1
1201,0.135,0,0
1202,0.42,0,0
1203,0.95,0,1
1204,0.615,0,1
1205,0.125,0,0
1206,0.315,0,0
1207,0.895,0,1
1208,0.95,0,1
1209,0.51,0,1
1210,0.45,0,1
1211,0.07,0,0
1212,0.12,0,0
1213,0.74,0,1
1214,0.72,0,1
1215,0.64,0,1
1216,0.55,0,1
1217,0.615,0,1
1218,0.73,0,1
1219,0.54,0,1
1220,0.41,0,0
1221,0.935,0,1
1222,0.16,0,0
1223,0.36,0,1
1224,0.795,0,1
1225,0.13,0,1
1226,0.895,0,1
1227,0.495,0,1
1228,0.235,0,1
1229,0.06,0,0
1230,0.62,0,1
1231,0.955,0,1
1232,0.235,0,0
1233,0.67,1,1
1234,0.145,0,0
1235,0.03,0,0
1236,0.005,0,0
1237,0.03,0,0
1238,0.61,0,1
1239,0.395,0,1
1240,0.91,0,1
1241,0.79,0,1
1242,0.57,0,1
1243,0.12,0,0
1244,0.15,0,0
1245,0.395,0,0
1246,0.115,0,0
1247,0.52,0,1
1248,0.015,0,0
1249,0.73,0,1
1250,0.14,0,1
1251,0.035,0,0
1252,0.395,0,1
1253,0.185,0,1
1254,0.21,0,1
1255,0.23,0,0
1256,0.89,0,1
1257,0.645,0,1
1258,0.685,0,1
1259,0.525,0,1
1260,0.035,0,0
1261,0.12,0,0
1262,0.745,0,1
1263,0.29,0,1
1264,0.24,0,1
1265,0.78,0,1
1266,0.325,0,0
1267,0.845,0,1
1268,0.29,0,1
1269,0.06,0,0
1270,0.035,0,0
1271,0.02,0,0
1272,0.805,0,1
1273,0.86,0,1
1274,0.465,0,0
1275,0.495,0,1
1276,0.07,0,0
1277,0.85,0,1
1278,0.455,0,0
1279,0.14,0,0
1280,0.9,0,1
1281,0.445,0,1
1282,0.785,0,1
1283,0.28,0,1
1284,0.985,0,1
1285,0.685,0,1
1286,0.945,0,1
1287,0.58,0,1
1288,0.645,0,1
1289,0.015,0,0
1290,0.375,0,1
1291,0.06,0,0
1292,0.415,0,1
1293,0.22,0,1
1294,0.05,0,0
1295,0.21,0,0
1296,0.935,0,1
1297,0.77,0,1
1298,0.19,0,0
1299,0.605,0,1
1300,0.215,0,1
1301,0.96,0,1
1302,0.64,0,1
1303,0.455,0,1
1304,0.295,0,1
1305,0.31,0,0
1306,0.39,0,1
1307,0.165,0,0
1308,0.03,0,0
1309,0.895,0,1
1310,0.13,0,0
1311,0.44,0,1
1312,0.675,0,1
1313,0.25,0,0
1314,0.27,0,1
1315,0.945,0,1
1316,0.205,0,0
1317,0.585,0,1
1318,0.915,0,1
1319,0.865,0,0
1320,0.07,0,0
1321,0.17,0,0
1322,0.72,0,1
1323,0.945,0,1
1324,0.98,0,1
1325,0.97,0,1
1326,0.715,0,1
1327,0.53,0,1
1328,0.81,0,1
1329,0.58,0,0
1330,0.05,0,0
1331,0.295,0,1
1332,0.45,0,1
1333,0.785,0,1
1334,0.54,0,1
1335,0.02,0,0
1336,0.535,1,1
1337,0.59,0,1
1338,0.04,0,0
1339,0.17,0,0
1340,0.345,0,1
1341,0.86,0,1
1342,0.38,0,1
1343,0.29,0,1
1344,0.02,0,0
1345,0.995,0,1
1346,0.58,0,1
1347,0.94,0,1
1348,0.485,0,1
1349,0.48,0,1
1350,0.76,0,1
1351,0.07,0,1
1352,0.865,0,1
1353,0.42,0,1
1354,0.93,0,1
1355,0.71,0,1
1356,0.415,0,1
1357,0.95,0,1
1358,0.545,0,1
1359,0.93,0,1
1360,0.855,0,1
